Article Number,Description,Identifier,Keywords,Price,Price quantity,Prices+,Sold individually,height,length,operatingWeight,productType,weight,width,description
YD00003427,,BRACKET,,,1.0,,True,,,,SpareParts,,,High-quality Tata Hitachi spare part BRACKET designed for durability and precise fit in compatible construction machinery models.
YD00007645,,NAME-PLATE,,743.4 INR:N::1 EA::,1.0,743.4 INR:N::1 EA::,True,,,,SpareParts,,,"High-quality Tata Hitachi NAME-PLATE spare part, designed for compatibility with specific construction machinery models, ensuring durability and precise identification."
YD00005399,,COVER,,,1.0,,True,,,,SpareParts,,,High-quality Tata Hitachi COVER spare part designed for durability and precise fitment in compatible construction machinery models.
YD00003282,,HOSE,,4089.88 INR:N::1 EA::,1.0,4089.88 INR:N::1 EA::,True,,,,SpareParts,,,High-quality Tata Hitachi spare hose (P/N: HOSE) for enhanced fluid transfer efficiency in compatible construction machinery models.
YD60003392,,PLATE,,0.0 INR:N::1 EA::,1.0,0.0 INR:N::1 EA::,True,,,,SpareParts,,,High-quality Tata Hitachi spare part PLATE for enhanced durability and performance in compatible construction machinery models.
YD00005162,Engine Fan Belt,BELT FAN,,4030.88 INR:N::1 EA::,1.0,4030.88 INR:N::1 EA::,True,,,1.0,SpareParts,,,High-quality Tata Hitachi Engine Fan Belt (P/N: BELT FAN) for optimal cooling efficiency in compatible construction machinery models.
YD00001182,,SEAL;RUBBER,,,1.0,,True,,,,SpareParts,,,High-quality Tata Hitachi rubber seal (P/N: SEAL;RUBBER) for enhanced durability and performance in compatible construction machinery models.
YD40002594,,STOPPER,,,1.0,,True,,,,SpareParts,,,High-quality Tata Hitachi STOPPER spare part designed for durability and precise fit in compatible construction machinery models.
YD00004027,,*HOSE,,,1.0,,True,,,,SpareParts,,,High-quality Tata Hitachi spare hose (P/N: HOSE) designed for durability and precise fit in Tata Hitachi construction machinery models.
YD40000549,,BRACKET,,,1.0,,True,,,,SpareParts,,,High-quality Tata Hitachi spare part BRACKET designed for durability and precise fitment in compatible construction machinery models.
YD00008868,,* SECTION (BOOM),,89604.48 INR:N::1 EA::,1.0,89604.48 INR:N::1 EA::,True,,,,SpareParts,,,High-quality Tata Hitachi boom section (P/N: SECTION (BOOM)) for enhanced structural integrity and performance in compatible construction machinery models.
YD00003278,,BRACKET,,,1.0,,True,,,,SpareParts,,,"High-quality Tata Hitachi spare part BRACKET designed for durability and precision, compatible with various construction machinery models."
YD00003088,,SEAL;RUBBER,,,1.0,,True,,,,SpareParts,,,"High-quality rubber seal (P/N: SEAL;RUBBER) for Tata Hitachi construction machinery, providing reliable sealing performance for various machine models."
YD00006007,,HOSE;COOLER,,0.0 INR:N::1 EA::,1.0,0.0 INR:N::1 EA::,True,,,,SpareParts,,,High-quality Tata Hitachi cooler hose (P/N: HOSE;COOLER) designed for optimal cooling efficiency in compatible construction machinery models.
YD00007887,B30_Attachment,VALVE,,7232.22 INR:N::1 EA::,1.0,7232.22 INR:N::1 EA::,True,81.0,81.0,1.0,SpareParts,1.0,36.0,"""High-quality Tata Hitachi VALVE (P/N: B30_Attachment) for enhanced performance and reliability in compatible construction machinery models."""
YD00008053,,INSULATOR,,,1.0,,True,,,,SpareParts,,,High-quality Tata Hitachi INSULATOR spare part designed for optimal insulation performance in compatible construction machinery models.
YD00008883,Applicable Cylinder Part No YD00006748,BOOM CYLINDER SEAL KIT,,21074.8 INR:N::1 EA::,1.0,21074.8 INR:N::1 EA::,True,150.0,150.0,1.0,SpareParts,0.2,40.0,High-quality Tata Hitachi boom cylinder seal kit (P/N: YD00006748) for superior sealing performance in compatible construction machinery models.
YD00007975,,* LINK,,0.0 INR:N::1 EA::,1.0,0.0 INR:N::1 EA::,True,,,,SpareParts,,,High-quality Tata Hitachi spare part (P/N: LINK) designed for optimal performance and compatibility with Tata Hitachi construction machinery models.
YD60003622,,ASSY;HOSE,,2017.8 INR:N::1 EA::,1.0,2017.8 INR:N::1 EA::,True,,,,SpareParts,,,High-quality Tata Hitachi ASSY;HOSE spare part designed for durability and compatibility with select construction machinery models.
YD00004592,,HOSE,,,1.0,,True,,,,SpareParts,,,High-quality Tata Hitachi spare hose (P/N: HOSE) for enhanced fluid transfer efficiency in construction machinery applications.
YD00000877,,COVER;REAR,,20816.38 INR:N::1 EA::,1.0,20816.38 INR:N::1 EA::,True,,,,SpareParts,,,"""High-quality Tata Hitachi rear cover (P/N: COVER;REAR) designed for durability and precise fit on compatible construction machinery models."""
YD60005326,,ASSY;HOSE,,2456.76 INR:N::1 EA::,1.0,2456.76 INR:N::1 EA::,True,,,,SpareParts,,,High-quality Tata Hitachi ASSY;HOSE spare part designed for durability and optimal performance in compatible construction machinery models.
YD00000517,,* SECTION (BLADE),,,1.0,,True,,,,SpareParts,,,High-quality Tata Hitachi Section Blade (P/N: SECTION) spare part for enhanced cutting efficiency in compatible construction machinery models.
YD00005513,,NUT,,,1.0,,True,,,,SpareParts,,,"""Durable Tata Hitachi NUT spare part designed for high-performance construction machinery, ensuring secure fastening in demanding operational conditions."""
YD00002130,,SEAL;RUBBER,,,1.0,,True,,,,SpareParts,,,High-quality Tata Hitachi rubber seal (P/N: SEAL;RUBBER) for enhanced sealing efficiency in compatible construction machinery models.
YD40001465,,BRACKET,,1877.38 INR:N::1 EA::,1.0,1877.38 INR:N::1 EA::,True,,,,SpareParts,,,"""High-quality Tata Hitachi spare part bracket designed for durability and precision fit in compatible construction machinery models."""
YD40000371,,FRAME;MAIN,,1280275.22 INR:N::1 EA::,1.0,1280275.22 INR:N::1 EA::,True,,,,SpareParts,,,"High-quality Tata Hitachi MAIN FRAME (P/N: FRAME;MAIN) for robust construction machinery, compatible with select models for superior structural integrity and longevity."
YD00006950,,MUFFLER,,57776.64 INR:N::1 EA::,1.0,57776.64 INR:N::1 EA::,True,,,,SpareParts,,,High-quality Tata Hitachi MUFFLER spare part designed for optimal noise reduction in compatible construction machinery models.
YD00000979,Radiator Bottom Hose,HOSE _WATER,,2932.0 INR:N::1 EA::,1.0,2932.0 INR:N::1 EA::,True,640.0,640.0,1.0,SpareParts,0.5,6.0,High-quality Tata Hitachi Radiator Bottom Hose (P/N: HOSE_WATER) for efficient cooling in compatible construction machinery models.
YD60002323,,PARTS;SWING,,,1.0,,True,,,,SpareParts,,,"High-quality Tata Hitachi swing part (P/N: PARTS;SWING) designed for durability and precision, compatible with select Tata Hitachi construction machinery models."
YD40001183,,COVER,,68888.4 INR:N::1 EA::,1.0,68888.4 INR:N::1 EA::,True,,,,SpareParts,,,"""Durable Tata Hitachi COVER (P/N: nan) for SpareParts, engineered for precise fit and quality performance in compatible machine models."""
YD00006328,,NAME-PLATE,,0.0 INR:N::1 EA::,1.0,0.0 INR:N::1 EA::,True,,,,SpareParts,,,"""Authentic Tata Hitachi NAME-PLATE spare part, designed for compatibility and durability in Tata Hitachi construction machinery models."""
YD00005366,,WASHER,,,1.0,,True,,,,SpareParts,,,High-quality Tata Hitachi spare part (P/N: WASHER) for enhanced equipment performance and reliability in construction machinery applications.
YD00002073,,COVER,,0.0 INR:N::1 EA::,1.0,0.0 INR:N::1 EA::,True,,,,SpareParts,,,"High-quality Tata Hitachi COVER spare part designed for durability and precise fit, compatible with various construction machinery models."
YD00004424,,GEAR;PLANETARY,,6288.22 INR:N::1 EA::,1.0,6288.22 INR:N::1 EA::,True,,,,SpareParts,,,"""High-quality Tata Hitachi planetary gear (P/N: GEAR;PLANETARY) designed for robust performance in compatible construction machinery models."""
YD00010121,,INSULATOR,,0.0 INR:N::1 EA::,1.0,0.0 INR:N::1 EA::,True,,,,SpareParts,,,"High-quality Tata Hitachi INSULATOR (P/N: nan) for improved insulation in compatible construction machinery models, ensuring reliable performance and longevity."
YD00006479,,SEAL;RUBBER,,0.0 INR:N::1 EA::,1.0,0.0 INR:N::1 EA::,True,,,,SpareParts,,,"High-quality rubber seal (P/N: SEAL;RUBBER) for Tata Hitachi construction machinery, providing reliable sealing performance for various compatible machine models."
YD00003161,,FILTER;FUEL,,8035.8 INR:N::1 EA::,1.0,8035.8 INR:N::1 EA::,True,,,,SpareParts,,,"High-quality Tata Hitachi fuel filter (P/N: FILTER;FUEL) for enhanced filtration efficiency, compatible with various Tata Hitachi construction machinery models."
YD60005287,,ASSY;HOSE (LABEL;6A),,0.0 INR:N::1 EA::,1.0,0.0 INR:N::1 EA::,True,,,,SpareParts,,,"""High-quality Tata Hitachi assembly hose (P/N: LABEL;6A) designed for precision fit and durability in compatible construction machinery models."""
YD00004654,,SEAL;RUBBER,,,1.0,,True,,,,SpareParts,,,High-quality Tata Hitachi rubber seal (P/N: SEAL;RUBBER) for enhanced sealing efficiency in compatible construction machinery models.
YD00005379,,RUBBER;CUSHION,,,1.0,,True,,,,SpareParts,,,High-quality Tata Hitachi rubber cushion (P/N: RUBBER;CUSHION) designed for durability and vibration dampening in compatible construction machinery models.
YD40000118,,* CANOPY;ROPS,,207085.28 INR:N::1 EA::,1.0,207085.28 INR:N::1 EA::,True,,,,SpareParts,,,High-quality Tata Hitachi ROPS canopy (P/N: CANOPY;ROPS) designed for safety and protection on compatible construction machinery models.
YD00003337,,HOSE,,,1.0,,True,,,,SpareParts,,,High-quality Tata Hitachi spare hose (P/N: HOSE) for enhanced fluid transfer efficiency in compatible construction machinery models.
YD00000849,,BUSHING,,5399.68 INR:N::1 EA::,1.0,5399.68 INR:N::1 EA::,True,,,,SpareParts,,,High-quality Tata Hitachi bushing (P/N: BUSHING) for enhanced durability and precision fit in compatible construction machinery models.
YD40000416,,BRACKET,,,1.0,,True,,,,SpareParts,,,"High-quality Tata Hitachi spare part BRACKET designed for durability and precise fit, compatible with various construction machinery models."
YD60002756,,ASSY;HOSE,,,1.0,,True,,,,SpareParts,,,High-quality Tata Hitachi ASSY;HOSE spare part designed for durability and performance in compatible construction machinery models.
YD00001169,,SEAL;RUBBER,,,1.0,,True,,,,SpareParts,,,High-quality Tata Hitachi rubber seal (P/N: SEAL;RUBBER) for enhanced machine performance and longevity in construction machinery applications.
YD00007438,,SEAL;RUBBER,,,1.0,,True,,,,SpareParts,,,High-quality Tata Hitachi rubber seal (P/N: SEAL;RUBBER) for enhanced sealing performance in construction machinery; compatible with various models.
YD60003290,,ASSY;HOSE,,4070.0 INR:N::1 EA::,1.0,4070.0 INR:N::1 EA::,True,,,,SpareParts,,,High-quality Tata Hitachi construction machinery hose assembly (P/N: ASSY;HOSE) for superior fluid transfer in compatible models.
YD40004863,,COVER;FRONT,,62698.12 INR:N::1 EA::,1.0,62698.12 INR:N::1 EA::,True,,,,SpareParts,,,"""Durable Tata Hitachi front cover (P/N: COVER;FRONT) designed for enhanced protection and compatibility with select construction machinery models."""
YD60003317,,ASSY;HOSE,,1250.8 INR:N::1 EA::,1.0,1250.8 INR:N::1 EA::,True,,,,SpareParts,,,High-quality Tata Hitachi construction machinery hose assembly (P/N: ASSY;HOSE) for enhanced fluid transfer efficiency in compatible models.
YD00000461,,RUBBER,,0.0 INR:N::1 EA::,1.0,0.0 INR:N::1 EA::,True,,,,SpareParts,,,"High-quality Tata Hitachi rubber spare part designed for durability, compatible with various construction machinery models for reliable performance in demanding environments."
YD00000369,,CYL.;SWING,,207584.42 INR:N::1 EA::,1.0,207584.42 INR:N::1 EA::,True,,,,SpareParts,,,High-quality Tata Hitachi swing cylinder (P/N: CYL.;SWING) spare part designed for durability and precise operation in compatible construction machinery models.
YD00001647,,COLLAR,,0.0 INR:N::1 EA::,1.0,0.0 INR:N::1 EA::,True,,,,SpareParts,,,"High-quality Tata Hitachi spare part COLLAR designed for durability and precision, compatible with various construction machinery models."
YD00000013,,HARNESS;WIRE,,,1.0,,True,,,,SpareParts,,,High-quality Tata Hitachi wire harness (P/N: HARNESS;WIRE) designed for durability and precise electrical connectivity in compatible construction machinery models.
YD60003311,,ASSY;HOSE,,,1.0,,True,,,,SpareParts,,,High-quality Tata Hitachi construction machinery hose assembly (P/N: ASSY;HOSE) for optimal fluid transfer in compatible machine models.
YD40000368,,* FRAME;TRACK,,,1.0,,True,,,,SpareParts,,,High-quality Tata Hitachi track frame (P/N: FRAME;TRACK) designed for durability and precision fit in compatible construction machinery models.
YD00001196,,SEAL;RUBBER,,,1.0,,True,,,,SpareParts,,,High-quality Tata Hitachi rubber seal (P/N: SEAL;RUBBER) for enhanced sealing performance in construction machinery; compatible with various models.
YD00000830,,RUBBER,,0.0 INR:N::1 EA::,1.0,0.0 INR:N::1 EA::,True,,,,SpareParts,,,High-quality Tata Hitachi rubber spare part designed for durability and performance in construction machinery applications.
YD00003353,,HOSE,,3316.98 INR:N::1 EA::,1.0,3316.98 INR:N::1 EA::,True,,,,SpareParts,,,"High-quality Tata Hitachi spare part HOSE designed for optimal performance in construction machinery, compatible with various models for reliable operation."
YD00012504,,CYL;BLADE,,,1.0,,True,,,,SpareParts,,,High-quality Tata Hitachi CYL;BLADE spare part designed for durability and precision performance in compatible construction machinery models.
YD60005281,,ASSY;HOSE,,1323.96 INR:N::1 EA::,1.0,1323.96 INR:N::1 EA::,True,,,,SpareParts,,,High-quality Tata Hitachi construction machinery hose assembly (P/N: ASSY;HOSE) for enhanced fluid transfer efficiency in compatible models.
YD00000365,BOOM CYLINDER Assy,CYL.BOOM,,102496.0 INR:N::1 EA::,1.0,102496.0 INR:N::1 EA::,True,,,1.0,SpareParts,34.4,,"""Tata Hitachi CYL.BOOM (P/N: CYL.BOOM) for boom cylinders in compatible construction machinery models, engineered for reliable performance and longevity."""
YD40002438,,PLATE,,0.0 INR:N::1 EA::,1.0,0.0 INR:N::1 EA::,True,,,,SpareParts,,,High-quality Tata Hitachi spare part PLATE for enhanced durability and performance in compatible construction machinery models.
YD00005810,,* INDICATOR,,3917.6 INR:N::1 EA::,1.0,3917.6 INR:N::1 EA::,True,,,,SpareParts,,,High-quality Tata Hitachi spare part INDICATOR designed for precise equipment monitoring in compatible construction machinery models.
YD00004956,,* SASH,,,1.0,,True,,,,SpareParts,,,High-quality Tata Hitachi SASH spare part designed for optimal performance in compatible construction machinery models.
YD40002521,,BRACKET,,0.0 INR:N::1 EA::,1.0,0.0 INR:N::1 EA::,True,,,,SpareParts,,,High-quality Tata Hitachi spare part BRACKET designed for durability and precision fit in compatible construction machinery models.
YD60003331,,ASSY;HOSE,,312.7 INR:N::1 EA::,1.0,312.7 INR:N::1 EA::,True,,,,SpareParts,,,"""High-quality Tata Hitachi ASSY;HOSE spare part designed for durability and compatibility with select construction machinery models."""
YD40000554,,BRACKET,,,1.0,,True,,,,SpareParts,,,"High-quality Tata Hitachi spare part BRACKET designed for durability and precise fit, compatible with various construction machinery models."
YD60000785,,PUMP;PISTON,,,1.0,,True,,,,SpareParts,,,"High-quality Tata Hitachi piston pump (P/N: PUMP;PISTON) designed for robust performance in construction machinery, compatible with various models."
YD00003551,,VALVE;SOLENOID,,31110.7 INR:N::1 EA::,1.0,31110.7 INR:N::1 EA::,True,,,,SpareParts,,,High-quality Tata Hitachi solenoid valve (P/N: VALVE;SOLENOID) for enhanced performance in construction machinery; compatible with various models.
YD40000465,,BRACKET,,,1.0,,True,,,,SpareParts,,,"""Durable Tata Hitachi BRACKET (P/N: nan) designed for precise fit and support in compatible construction machinery models."""
YD00005386,,* PLATE,,,1.0,,True,,,,SpareParts,,,"High-quality Tata Hitachi spare part PLATE designed for durability and precision, compatible with various construction machinery models for reliable performance."
YD00003112,,INSULATOR,,,1.0,,True,,,,SpareParts,,,"High-quality Tata Hitachi INSULATOR spare part designed for optimal performance in compatible construction machinery models, ensuring reliability and longevity."
YD60001427,,ELECTRIC-PART,,,1.0,,True,,,,SpareParts,,,High-quality Tata Hitachi electric part (P/N: ELECTRIC-PART) designed for enhanced performance in compatible construction machinery models.
YD00002910,,HARNESS;WIRE,,0.0 INR:N::1 EA::,1.0,0.0 INR:N::1 EA::,True,,,,SpareParts,,,High-quality Tata Hitachi wire harness (P/N: HARNESS;WIRE) designed for optimal electrical connectivity in compatible construction machinery models.
YD40000350,,CATCH,,,1.0,,True,,,,SpareParts,,,"High-quality Tata Hitachi CATCH spare part designed for durability and precision, compatible with various construction machinery models."
YD00003695,,SEAL;RUBBER,,,1.0,,True,,,,SpareParts,,,High-quality Tata Hitachi rubber seal (P/N: SEAL;RUBBER) for enhanced sealing performance in construction machinery; compatible with various models.
YD00002459,,SEAL;RUBBER,,,1.0,,True,,,,SpareParts,,,High-quality Tata Hitachi rubber seal (P/N: SEAL;RUBBER) for enhanced sealing performance in construction machinery; compatible with various models.
YD00003362,,HOSE,,7379.72 INR:N::1 EA::,1.0,7379.72 INR:N::1 EA::,True,,,,SpareParts,,,High-quality Tata Hitachi spare part HOSE for enhanced fluid transfer efficiency in construction machinery applications.
YD00003355,,HOSE,,4041.5 INR:N::1 EA::,1.0,4041.5 INR:N::1 EA::,True,,,,SpareParts,,,High-quality Tata Hitachi spare hose (P/N: HOSE) designed for optimal fluid transfer in compatible construction machinery models.
YD40002052,,PIPE,,3109.3 INR:N::1 EA::,1.0,3109.3 INR:N::1 EA::,True,,,,SpareParts,,,"High-quality Tata Hitachi spare part PIPE for construction machinery, designed for durability and compatibility with various models."
YD00003354,,HOSE,,3516.4 INR:N::1 EA::,1.0,3516.4 INR:N::1 EA::,True,,,,SpareParts,,,High-quality Tata Hitachi spare hose (P/N: HOSE) designed for optimal fluid transfer in compatible construction machinery models.
YD00002122,,SEAL;RUBBER,,,1.0,,True,,,,SpareParts,,,"High-quality Tata Hitachi rubber seal (P/N: SEAL;RUBBER) for enhanced sealing performance in construction machinery, compatible with various models."
YD40001836,,WEIGHT;COUNTER(363kg),,249207.74 INR:N::1 EA::,1.0,249207.74 INR:N::1 EA::,True,,,,SpareParts,,,High-quality Tata Hitachi counterweight (P/N: WEIGHT;COUNTER(363kg)) for enhanced stability in heavy-duty construction machinery.
YD00012085,,VALVE;SOLENOID,,40437.42 INR:N::1 EA::,1.0,40437.42 INR:N::1 EA::,True,,,,SpareParts,,,"High-quality Tata Hitachi solenoid valve (P/N: VALVE;SOLENOID) for enhanced performance in construction machinery, compatible with various models."
YD60002676,,ASSY;HOSE,,,1.0,,True,,,,SpareParts,,,High-quality Tata Hitachi construction machinery hose assembly (P/N: ASSY;HOSE) for superior performance and reliability in compatible machine models.
YD00000710,,* CLAMP,,,1.0,,True,,,,SpareParts,,,"High-quality Tata Hitachi CLAMP spare part designed for durability and precision, compatible with various construction machinery models."
YD00005119,,SEAL;RUBBER,,,1.0,,True,,,,SpareParts,,,High-quality Tata Hitachi rubber seal (P/N: SEAL;RUBBER) designed for superior sealing performance in compatible construction machinery models.
YD00001164,,SEAL;RUBBER,,,1.0,,True,,,,SpareParts,,,High-quality Tata Hitachi rubber seal (P/N: SEAL;RUBBER) for enhanced sealing performance in compatible construction machinery models.
YD40000613,,STAY,,,1.0,,True,,,,SpareParts,,,"""Durable Tata Hitachi STAY spare part for enhanced stability and support in compatible construction machinery models."""
YD00006746,,MOTOR;OIL,,238164.12 INR:N::1 EA::,1.0,238164.12 INR:N::1 EA::,True,,,,SpareParts,,,High-performance Tata Hitachi oil motor (P/N: MOTOR;OIL) designed for enhanced lubrication efficiency in compatible construction machinery models.
YD00001174,,SEAL;RUBBER,,,1.0,,True,,,,SpareParts,,,"High-quality Tata Hitachi rubber seal (P/N: SEAL;RUBBER) for enhanced sealing performance in construction machinery, compatible with various models."
YD00007256,FILTER FUEL,FILTER_FUEL,,5757.4400000000005 INR:N::1 EA::,1.0,5757.4400000000005 INR:N::1 EA::,True,100.0,180.0,1.0,SpareParts,0.92,105.0,High-quality Tata Hitachi FILTER_FUEL (P/N: FILTER_FUEL) designed for optimal fuel filtration in Tata Hitachi construction machinery models.
YD00005562,,GEAR;SUN,,7819.86 INR:N::1 EA::,1.0,7819.86 INR:N::1 EA::,True,,,,SpareParts,,,High-quality Tata Hitachi sun gear (P/N: GEAR;SUN) for enhanced transmission efficiency in compatible construction machinery models.
YD00005117,,SEAL;RUBBER,,0.0 INR:N::1 EA::,1.0,0.0 INR:N::1 EA::,True,,,,SpareParts,,,"High-quality rubber seal (P/N: SEAL;RUBBER) for Tata Hitachi construction machinery, providing superior sealing performance for various compatible machine models."
YD60008246,,EMERGENCY SPARES,,,1.0,,True,,,,SpareParts,,,"""Essential Tata Hitachi emergency spares for uninterrupted operation, designed for compatibility with various construction machinery models."""
YD00000282,,* VALVE;RELIEF,,,1.0,,True,,,,SpareParts,,,"""High-quality Tata Hitachi relief valve (P/N: VALVE;RELIEF) for enhanced pressure control in compatible construction machinery models."""
YD00003031,,HARNESS;WIRE,,,1.0,,True,,,,SpareParts,,,High-quality Tata Hitachi wire harness (P/N: HARNESS;WIRE) designed for optimal electrical connectivity in Tata Hitachi construction machinery models.
YD60005441,,ASSY;HOSE (LABEL;YT),,0.0 INR:N::1 EA::,1.0,0.0 INR:N::1 EA::,True,,,,SpareParts,,,High-quality Tata Hitachi ASSY;HOSE (LABEL;YT) spare part designed for durability and precise fit in compatible construction machinery models.
YD00001013,,DUCT,,,1.0,,True,,,,SpareParts,,,High-quality Tata Hitachi spare part DUCT for enhanced performance and longevity in compatible construction machinery models.
YD00005421,Seal Kit,BKT CYL. KIT SEAL - HITACHI,,16910.58 INR:N::1 EA::,1.0,16910.58 INR:N::1 EA::,True,85.0,85.0,1.0,SpareParts,,30.0,"High-quality Tata Hitachi Seal Kit (P/N: BKT CYL. KIT SEAL) designed for Hitachi machinery, ensuring reliable sealing performance and longevity in construction applications."
YD40001106,,COVER,,0.0 INR:N::1 EA::,1.0,0.0 INR:N::1 EA::,True,,,,SpareParts,,,"High-quality Tata Hitachi COVER spare part designed for durability and precise fit, compatible with multiple construction machinery models."
YD00006660,,SEAL;RUBBER,,0.0 INR:N::1 EA::,1.0,0.0 INR:N::1 EA::,True,,,,SpareParts,,,"High-quality rubber seal (P/N: SEAL;RUBBER) for Tata Hitachi construction machinery, providing superior sealing performance and compatibility with various models."
YD60003510,,CONSOLE(LEFT),,,1.0,,True,,,,SpareParts,,,"""OEM Tata Hitachi CONSOLE(LEFT) spare part designed for precision fit and durability in compatible construction machinery models."""
YD00011150,,INSULATOR,,,1.0,,True,,,,SpareParts,,,High-quality Tata Hitachi INSULATOR spare part designed for durability and optimal performance in compatible construction machinery models.
YD00002248,,SEAL;RUBBER,,,1.0,,True,,,,SpareParts,,,"High-quality Tata Hitachi rubber seal (P/N: SEAL;RUBBER) for enhanced sealing performance in construction machinery, compatible with various models."
YD00000014,,HARNESS;WIRE,,,1.0,,True,,,,SpareParts,,,High-quality Tata Hitachi wire harness (P/N: HARNESS;WIRE) designed for efficient electrical connectivity in construction machinery models.
YD40002565,,COVER,,0.0 INR:N::1 EA::,1.0,0.0 INR:N::1 EA::,True,,,,SpareParts,,,"""High-quality Tata Hitachi COVER spare part for enhanced durability and performance in compatible construction machinery models."""
YD60003101,,ASSY;HOSE,,,1.0,,True,,,,SpareParts,,,High-quality Tata Hitachi construction machinery hose assembly (P/N: ASSY;HOSE) for superior fluid transfer in compatible models.
YD00001856,,VALVE;CONTROL,,387100.18 INR:N::1 EA::,1.0,387100.18 INR:N::1 EA::,True,,,,SpareParts,,,"""High-quality Tata Hitachi control valve (P/N: VALVE;CONTROL) for precise equipment operation, compatible with various construction machinery models."""
YD00003814,,TUBE;NYLON,,,1.0,,True,,,,SpareParts,,,High-quality Tata Hitachi nylon tube (P/N: TUBE;NYLON) for durable and reliable performance in compatible construction machinery models.
YD00005370,,STRIKER,,,1.0,,True,,,,SpareParts,,,High-quality Tata Hitachi STRIKER spare part designed for enhanced performance and durability in compatible construction machinery models.
YD40000413,,BRACKET,,,1.0,,True,,,,SpareParts,,,"""Tata Hitachi SpareParts BRACKET designed for robust support, compatible with various construction machinery models for reliable performance and longevity."""
YD00002700,,SEAL;RUBBER,,,1.0,,True,,,,SpareParts,,,High-quality Tata Hitachi rubber seal (P/N: SEAL;RUBBER) for enhanced durability and performance in construction machinery applications.
YD40001322,,PIPE;EXHAUST,,,1.0,,True,,,,SpareParts,,,High-quality Tata Hitachi exhaust pipe (P/N: PIPE;EXHAUST) designed for durability and optimal performance in compatible construction machinery models.
YD00003879,,BUSHING;RUBBER,,,1.0,,True,,,,SpareParts,,,High-quality Tata Hitachi rubber bushing (P/N: BUSHING;RUBBER) designed for durability and performance in construction machinery applications.
YD00005380,,RUBBER;CUSHION,,,1.0,,True,,,,SpareParts,,,High-quality Tata Hitachi rubber cushion (P/N: RUBBER;CUSHION) designed for superior vibration dampening in compatible construction machinery models.
YD00002276,,SHAFT;PROP.,,46258.36 INR:N::1 EA::,1.0,46258.36 INR:N::1 EA::,True,,,,SpareParts,,,"""High-quality Tata Hitachi propeller shaft (P/N: SHAFT;PROP) designed for robust performance in construction machinery applications."""
YD40000611,,SHROUD,,,1.0,,True,,,,SpareParts,,,High-quality Tata Hitachi SHROUD spare part designed for durability and precise fitment in compatible construction machinery models.
YD00000236,,TUBE; NYLON,,172.28 INR:N::1 EA::,1.0,172.28 INR:N::1 EA::,True,,,,SpareParts,,,High-quality Tata Hitachi nylon tube (P/N: TUBE; NYLON) for durable and reliable performance in construction machinery applications.
YD40000257,,BRACKET,,,1.0,,True,,,,SpareParts,,,"""High-quality Tata Hitachi spare part BRACKET designed for durability and precision fit in compatible construction machinery models."""
YD00000828,,SEAL;RUBBER,,,1.0,,True,,,,SpareParts,,,"High-quality rubber seal (P/N: SEAL;RUBBER) for Tata Hitachi construction machinery, providing reliable sealing performance for various machine models."
